consulta,nombre,url,precio_texto,vendedor,precio,fuente_url
varilla corrugada 3/8,Conector Mecanico Para Varilla Corrugada Lock 5/8 Tipo 2,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-lock-58---tipo-2/up/MLMU3424466143#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2455447741&sid=search,$429,NA,429,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-lock-58---tipo-2/up/MLMU3424466143#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2455447741&sid=search
varilla corrugada 3/8,Máquina Flejadora De Bobinas De Alambre Corrugado Multifunci,https://www.mercadolibre.com.mx/cable-de-amarre-para-atadora-automatica-de-barras-de-refuerz/p/MLM2037805699#polycard_client=search-desktop&search_layout=grid&position=12&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2875562867&sid=search,"$132,36",NA,132.36,https://www.mercadolibre.com.mx/cable-de-amarre-para-atadora-automatica-de-barras-de-refuerz/p/MLM2037805699#polycard_client=search-desktop&search_layout=grid&position=12&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2875562867&sid=search
varilla corrugada 3/8,Alambre De Unión Para Máquinas Atadoras De Barras Refuerzo,https://www.mercadolibre.com.mx/alambre-de-acero-de-110-m-para-barra-de-acero-automatica-/p/MLM2062173053#polycard_client=search-desktop&search_layout=grid&position=13&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM4845502116&sid=search,"$123,33",NA,123.33,https://www.mercadolibre.com.mx/alambre-de-acero-de-110-m-para-barra-de-acero-automatica-/p/MLM2062173053#polycard_client=search-desktop&search_layout=grid&position=13&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM4845502116&sid=search
varilla corrugada 3/8,Herramienta De Cierre Corrugado Apach Cf-15aa Para 3/8 Pulga,https://articulo.mercadolibre.com.mx/MLM-2741566099-herramienta-de-cierre-corrugado-apach-cf-15aa-para-38-pulga-_JM#polycard_client=search-desktop&search_layout=grid&position=14&type=item&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c,"$7,986",APACH,7986,https://articulo.mercadolibre.com.mx/MLM-2741566099-herramienta-de-cierre-corrugado-apach-cf-15aa-para-38-pulga-_JM#polycard_client=search-desktop&search_layout=grid&position=14&type=item&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c
varilla corrugada 3/8,Panel De Techo Frp Corrugado 1/3/4/6/8/10 Piezas,https://www.mercadolibre.com.mx/panel-de-techo-frp-corrugado-1346810-piezas/up/MLMU3156003427#polycard_client=search-desktop&search_layout=grid&position=15&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM3673394544&sid=search,"$4,962",KUFU01,4962,https://www.mercadolibre.com.mx/panel-de-techo-frp-corrugado-1346810-piezas/up/MLMU3156003427#polycard_client=search-desktop&search_layout=grid&position=15&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM3673394544&sid=search
cemento gris 50 kg,Pigmento - Microcementos,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=oJGAG79t5%2BXxD%2B9%2FPVdoCGh2MJMCPpu9jQq8rY7fzYaQL6YncZg50Ii5Jo5aePD%2BVbc7NwC0kUCUeCeRKW%2BCdRPS5mr%2BMu%2BkcwPEhCIZygpNKg414%2FKYy0C2tG5CBHBVJVhveBUitlixv5RmC0aFd%2FDEwZSdnwuMa3etAgZ3k0lrO0L8Vr1PWvSf9sf2itZ%2Fot7l%2By0CHxR5vAljAjyrWRcdJTZ34dVoPlG5%2FKiEsIRcZzzU4jYepMTq4PUw2C9b0D9MF5PWnggxiTGW276%2Ft2K7y4bsNmjMX4Ze7b5Tz7R0NeuCMw0T%2BEkRukDaToRc1dzchsxlt%2B88uG78yF5u6KtTRrw4BlpEIfuzl7GC2VNf1Ij2H6JtuuKEY4%2BrVR9%2FGTnzgPt9qEIRib3uO5a%2B%2FZUss01p4ake0tH20pncDzoblfLpTuvuzvWY%2B1kUeGH9%2Bm3WccjSEOG0bIyVsbb%2FuAZyC0UOuqjall3otXhq1RSi6gCwt26QMeTbvxZ71yRKVi5zQYllRuWJfJo0Cj3gWIWUHaE%2FlzNgCzzlFhf0F%2BEPCC68NUNlEHIq%2FJB5Pv%2FKN5AAKu7xRNVeMFCLqTFDl4wEcxNGLr5N70msk84OJgqZrgObj3kQIYR45ig71F%2F6aYvQW1AwS3ybFWLtkkFG84Xc5QeaB6NU4NgmqAP4jveqhwFVKQ66%2FFW5i96c6LhhztFv1c3sUe1MvFhkBek3lTQCe5JjI%2F1ZQskgcA%2B%2FJOrBmB0g#polycard_client=search-desktop&is_advertising=true&search_layout=grid&position=1&type=pad&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf,$95,PEGADURO,95,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=oJGAG79t5%2BXxD%2B9%2FPVdoCGh2MJMCPpu9jQq8rY7fzYaQL6YncZg50Ii5Jo5aePD%2BVbc7NwC0kUCUeCeRKW%2BCdRPS5mr%2BMu%2BkcwPEhCIZygpNKg414%2FKYy0C2tG5CBHBVJVhveBUitlixv5RmC0aFd%2FDEwZSdnwuMa3etAgZ3k0lrO0L8Vr1PWvSf9sf2itZ%2Fot7l%2By0CHxR5vAljAjyrWRcdJTZ34dVoPlG5%2FKiEsIRcZzzU4jYepMTq4PUw2C9b0D9MF5PWnggxiTGW276%2Ft2K7y4bsNmjMX4Ze7b5Tz7R0NeuCMw0T%2BEkRukDaToRc1dzchsxlt%2B88uG78yF5u6KtTRrw4BlpEIfuzl7GC2VNf1Ij2H6JtuuKEY4%2BrVR9%2FGTnzgPt9qEIRib3uO5a%2B%2FZUss01p4ake0tH20pncDzoblfLpTuvuzvWY%2B1kUeGH9%2Bm3WccjSEOG0bIyVsbb%2FuAZyC0UOuqjall3otXhq1RSi6gCwt26QMeTbvxZ71yRKVi5zQYllRuWJfJo0Cj3gWIWUHaE%2FlzNgCzzlFhf0F%2BEPCC68NUNlEHIq%2FJB5Pv%2FKN5AAKu7xRNVeMFCLqTFDl4wEcxNGLr5N70msk84OJgqZrgObj3kQIYR45ig71F%2F6aYvQW1AwS3ybFWLtkkFG84Xc5QeaB6NU4NgmqAP4jveqhwFVKQ66%2FFW5i96c6LhhztFv1c3sUe1MvFhkBek3lTQCe5JjI%2F1ZQskgcA%2B%2FJOrBmB0g#polycard_client=search-desktop&is_advertising=true&search_layout=grid&position=1&type=pad&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf
cemento gris 50 kg,Pigmento Para Microcementos Diferentes Colores Pegaduro,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=52h83w8jf11QNFTAat46gVMkKqEcd0o%2FrvAKPUY6%2FkTsDHnza8SRQbFNWGrWMr7pVnRLyf92sAy5HH47ISnKDUpPYD4Ez7xN51DeWT%2B%2FLfAwxn9g3Q%2FjiPPiq2gr1gicEHnNRFGgroTCw1A1zMqFxA5ebETItZ5EmtF3FUdjSYk6G6XY2GJYVuENVVwSUJLBNU1%2FUWLFYvkXbtE20U54qi4pw3n5gyO6Ggo0H1cUkpAWS1crHkQ6vdtqz609qEsWA7RR%2BB9Isy2vnbLle5iMXCPL4DOeYHfa9c%2FvDjPnJXjMV%2FTrfA7g8momyFRgJQmu0aEHJRmV7vNwp2gQMJbcaRqq49AIPRXFtwtBWw3kzgy4kIiIwhwmosQhUoJf9NEUIm4555aAw%2FuRLO%2FhmwOuZuuyqNhpj7Xt7R%2FC%2BHjlcR7R0nXXva6JlQDgS456T0DH1iMDU%2FnWtyzF7PRQW2dTVs3%2FAO3F5V8q8wpuAQ3PGeaSYMx1qHz3m%2FEWdTtmYbxueQtmg%2FQ8b%2FtOlA6r3Tp%2Ba9b9P7hSmpVvTlzO0uJzyTOB4ig7ZpN%2F6MYMIhYe9D4q0UJE7kM4IDwqm8MvkDtedN7B7rwj%2F8MHyx625W4ERGa2T2IGhxPvXwOHZHt4Be%2FNIkRfn6E4bMquHQxkCpf4X9b1yM0TUlDixsLmNBAqzy6XKbc1Ldg%2Bx9JBZG5muEfJ%2F2mUyjGLC68VPRI7xpr6K3KXptOddI3QUa8llaS3XA5hR9rCiP%2FG1KLtWTVqcxTJmTi8%2BWBbQhnBWDbUHVGjtwnYTs7d6Jcn%2BfaBc2TfnQa4QEKHSJWMWAjTmbt1egKyAueQpfc4ZK0lvoHp9icDsxOJhz2tBQj1GswyQQ9KgAO8nwdOZs8%3D&searchVariation=191958417421#polycard_client=search-desktop&is_advertising=true&searchVariation=191958417421&search_layout=grid&position=2&type=pad&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf,$99,PEGADURO,99,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=52h83w8jf11QNFTAat46gVMkKqEcd0o%2FrvAKPUY6%2FkTsDHnza8SRQbFNWGrWMr7pVnRLyf92sAy5HH47ISnKDUpPYD4Ez7xN51DeWT%2B%2FLfAwxn9g3Q%2FjiPPiq2gr1gicEHnNRFGgroTCw1A1zMqFxA5ebETItZ5EmtF3FUdjSYk6G6XY2GJYVuENVVwSUJLBNU1%2FUWLFYvkXbtE20U54qi4pw3n5gyO6Ggo0H1cUkpAWS1crHkQ6vdtqz609qEsWA7RR%2BB9Isy2vnbLle5iMXCPL4DOeYHfa9c%2FvDjPnJXjMV%2FTrfA7g8momyFRgJQmu0aEHJRmV7vNwp2gQMJbcaRqq49AIPRXFtwtBWw3kzgy4kIiIwhwmosQhUoJf9NEUIm4555aAw%2FuRLO%2FhmwOuZuuyqNhpj7Xt7R%2FC%2BHjlcR7R0nXXva6JlQDgS456T0DH1iMDU%2FnWtyzF7PRQW2dTVs3%2FAO3F5V8q8wpuAQ3PGeaSYMx1qHz3m%2FEWdTtmYbxueQtmg%2FQ8b%2FtOlA6r3Tp%2Ba9b9P7hSmpVvTlzO0uJzyTOB4ig7ZpN%2F6MYMIhYe9D4q0UJE7kM4IDwqm8MvkDtedN7B7rwj%2F8MHyx625W4ERGa2T2IGhxPvXwOHZHt4Be%2FNIkRfn6E4bMquHQxkCpf4X9b1yM0TUlDixsLmNBAqzy6XKbc1Ldg%2Bx9JBZG5muEfJ%2F2mUyjGLC68VPRI7xpr6K3KXptOddI3QUa8llaS3XA5hR9rCiP%2FG1KLtWTVqcxTJmTi8%2BWBbQhnBWDbUHVGjtwnYTs7d6Jcn%2BfaBc2TfnQa4QEKHSJWMWAjTmbt1egKyAueQpfc4ZK0lvoHp9icDsxOJhz2tBQj1GswyQQ9KgAO8nwdOZs8%3D&searchVariation=191958417421#polycard_client=search-desktop&is_advertising=true&searchVariation=191958417421&search_layout=grid&position=2&type=pad&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf
cemento gris 50 kg,Cemento Gris Monterrey Bulto 25kg Cemex Cemgris25,https://www.mercadolibre.com.mx/cemento-gris-monterrey-bulto-25kg-cemex-cemgris25/p/MLM53363148#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2392683695&sid=search,$280,CEMEX por Plomerama,280,https://www.mercadolibre.com.mx/cemento-gris-monterrey-bulto-25kg-cemex-cemgris25/p/MLM53363148#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2392683695&sid=search
cemento gris 50 kg,Desmoldante Para Cemento 5kg Color Dark Gray/ Rinde 50m2,https://www.mercadolibre.com.mx/desmoldante-para-cemento-5kg-color-dark-gray-rinde-50m2/p/MLM2054451943#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM896477066&sid=search,$720,NA,720,https://www.mercadolibre.com.mx/desmoldante-para-cemento-5kg-color-dark-gray-rinde-50m2/p/MLM2054451943#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM896477066&sid=search
cemento gris 50 kg,Cemento Para Pvc 50 Ml :44924,https://www.mercadolibre.com.mx/cemento-para-pvc-50-ml-44924/p/MLM37780424#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2087050203&sid=search,$185,FOSET,185,https://www.mercadolibre.com.mx/cemento-para-pvc-50-ml-44924/p/MLM37780424#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2087050203&sid=search
cemento gris 50 kg,"Cemento Para Pvc, Gris, Máxima Viscosidad, Tubo 50ml, Foset",https://www.mercadolibre.com.mx/cemento-para-pvc-gris-maxima-viscosidad-tubo-50ml-foset/up/MLMU3781798094#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM4751127114&sid=search,$74,FOSET,74,https://www.mercadolibre.com.mx/cemento-para-pvc-gris-maxima-viscosidad-tubo-50ml-foset/up/MLMU3781798094#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM4751127114&sid=search
cemento gris 50 kg,Desmoldante En Polvo Para Concreto / Kimirelease 5 Kg.,https://articulo.mercadolibre.com.mx/MLM-1374209123-desmoldante-en-polvo-para-concreto-kimirelease-5-kg-_JM?searchVariation=174167023527#polycard_client=search-desktop&searchVariation=174167023527&search_layout=grid&position=7&type=item&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf,$650,KIMIKOLOR,650,https://articulo.mercadolibre.com.mx/MLM-1374209123-desmoldante-en-polvo-para-concreto-kimirelease-5-kg-_JM?searchVariation=174167023527#polycard_client=search-desktop&searchVariation=174167023527&search_layout=grid&position=7&type=item&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf
cemento gris 50 kg,"Cemento Para Pvc En Tubo De 50 Ml, Alta Viscosidad, Foset.",https://www.mercadolibre.com.mx/cemento-para-pvc-en-tubo-de-50-ml-alta-viscosidad-foset/up/MLMU474087145#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2076176775&sid=search,$134,FOSET,134,https://www.mercadolibre.com.mx/cemento-para-pvc-en-tubo-de-50-ml-alta-viscosidad-foset/up/MLMU474087145#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2076176775&sid=search
cemento gris 50 kg,Pigmento Para Microcemento Fly Heart Pisos Muros Muebles 50g,https://articulo.mercadolibre.com.mx/MLM-2822068110-pigmento-para-microcemento-fly-heart-pisos-muros-muebles-50g-_JM?searchVariation=181484994879#polycard_client=search-desktop&searchVariation=181484994879&search_layout=grid&position=9&type=item&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf,$169,FLY HEART,169,https://articulo.mercadolibre.com.mx/MLM-2822068110-pigmento-para-microcemento-fly-heart-pisos-muros-muebles-50g-_JM?searchVariation=181484994879#polycard_client=search-desktop&searchVariation=181484994879&search_layout=grid&position=9&type=item&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf
cemento gris 50 kg,Cemento Revoque Refractario Para Hornos Cubilote Crisoles,https://www.mercadolibre.com.mx/cemento-revoque-refractario-para-hornos-cubilote-crisoles/up/MLMU3879017802#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM5101509888&sid=search,$550,NA,550,https://www.mercadolibre.com.mx/cemento-revoque-refractario-para-hornos-cubilote-crisoles/up/MLMU3879017802#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM5101509888&sid=search
cemento gris 50 kg,Cemento Expansivo Dexpan 2 20kg. Demoledor Roca Y Concreto,https://www.mercadolibre.com.mx/cemento-expansivo-dexpan-2-20kg-demoledor-roca-y-concreto/p/MLM2072308055#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2760117511&sid=search,"$2,200",DEXPAN,2200,https://www.mercadolibre.com.mx/cemento-expansivo-dexpan-2-20kg-demoledor-roca-y-concreto/p/MLM2072308055#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2760117511&sid=search
cemento gris 50 kg,Cemento Antihumedad Cemex Portland Gris 25 Kg Resistente a Humedad,https://www.mercadolibre.com.mx/cemento-antihumedad-cemex-portland-gris-25-kg-resistente-a-humedad/p/MLM50013556#polycard_client=search-desktop&search_layout=grid&position=12&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2350620307&sid=search,$470,CEMEX por Plomerama,470,https://www.mercadolibre.com.mx/cemento-antihumedad-cemex-portland-gris-25-kg-resistente-a-humedad/p/MLM50013556#polycard_client=search-desktop&search_layout=grid&position=12&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2350620307&sid=search
cemento gris 50 kg,Desmoldante Concreto Estampado Gris Oscuro Spg (10 Kgs),https://www.mercadolibre.com.mx/desmoldante-concreto-estampado-gris-oscuro-spg-10-kgs/p/MLM2076315890#polycard_client=search-desktop&search_layout=grid&position=13&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM1416403692&sid=search,"$1,379",SPG,1379,https://www.mercadolibre.com.mx/desmoldante-concreto-estampado-gris-oscuro-spg-10-kgs/p/MLM2076315890#polycard_client=search-desktop&search_layout=grid&position=13&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM1416403692&sid=search
cemento gris 50 kg,Cemento Gris Extra Porland Reparador Grietas 2kg Cemex,https://www.mercadolibre.com.mx/cemento-gris-extra-porland-reparador-grietas-2kg-cemex/p/MLM28031675#polycard_client=search-desktop&search_layout=grid&position=14&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2003142105&sid=search,$61,CEMEX por Plomerama,61,https://www.mercadolibre.com.mx/cemento-gris-extra-porland-reparador-grietas-2kg-cemex/p/MLM28031675#polycard_client=search-desktop&search_layout=grid&position=14&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM2003142105&sid=search
cemento gris 50 kg,Reparador De Concretos Autonivelante Planarcem 100 Pegaduro,https://www.mercadolibre.com.mx/reparador-de-concretos-autonivelante-planarcem-100-pegaduro/p/MLM51112418#polycard_client=search-desktop&search_layout=grid&position=15&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM3750725014&sid=search,$839,PEGADURO,839,https://www.mercadolibre.com.mx/reparador-de-concretos-autonivelante-planarcem-100-pegaduro/p/MLM51112418#polycard_client=search-desktop&search_layout=grid&position=15&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM3750725014&sid=search
cemento gris 50 kg,Cemento Azul Para Pvc En Tubo De 50ml Alta Presión Foset,https://www.mercadolibre.com.mx/cemento-azul-para-pvc-en-tubo-de-50ml-alta-presion-foset/p/MLM46143590#polycard_client=search-desktop&search_layout=grid&position=16&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM4847708504&sid=search,$55,FOSET por CADENA 24,55,https://www.mercadolibre.com.mx/cemento-azul-para-pvc-en-tubo-de-50ml-alta-presion-foset/p/MLM46143590#polycard_client=search-desktop&search_layout=grid&position=16&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM4847708504&sid=search
cemento gris 50 kg,"Cemento Para Pvc, Tubo De 50ml, Alta Viscosidad, Foset 44924",https://www.mercadolibre.com.mx/cemento-para-pvc-tubo-de-50ml-alta-viscosidad-foset-44924/up/MLMU2134978525#polycard_client=search-desktop&search_layout=grid&position=17&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM3404245172&sid=search,$74,FOSET,74,https://www.mercadolibre.com.mx/cemento-para-pvc-tubo-de-50ml-alta-viscosidad-foset-44924/up/MLMU2134978525#polycard_client=search-desktop&search_layout=grid&position=17&type=product&tracking_id=958350a8-a560-4110-8858-75bfbda7a1cf&wid=MLM3404245172&sid=search
